Time,Power
03-16-00:59:28,6
03-16-00:59:48,6
03-16-01:00:08,6
03-16-01:00:28,6
03-16-01:00:48,6
03-16-01:01:08,6
03-16-01:01:28,6
03-16-01:01:48,6
03-16-01:02:08,6
03-16-01:02:28,6
03-16-01:02:48,6
03-16-01:03:08,6
03-16-01:03:28,6
03-16-01:03:48,6
03-16-01:04:08,6
03-16-01:04:28,6
03-16-01:04:48,6
03-16-01:05:08,6
03-16-01:05:28,6
03-16-01:05:48,6
03-16-01:06:08,6
03-16-01:06:28,6
03-16-01:06:48,6
03-16-01:07:09,6
03-16-01:07:28,6
03-16-01:07:48,6
03-16-01:08:09,6
03-16-01:08:28,6
03-16-01:08:48,6
03-16-01:09:09,6
03-16-01:09:28,6
03-16-01:09:48,6
03-16-01:10:09,6
03-16-01:10:29,6
03-16-01:10:49,6
03-16-01:11:09,6
03-16-01:11:29,6
03-16-01:11:49,6
03-16-01:12:09,6
03-16-01:12:29,6
03-16-01:12:49,6
03-16-01:13:09,6
03-16-01:13:29,6
03-16-01:13:49,6
03-16-01:14:09,6
03-16-01:14:29,6
03-16-01:14:49,6
03-16-01:15:09,6
03-16-01:15:29,6
03-16-01:15:49,6
03-16-01:16:09,6
03-16-01:16:29,6
03-16-01:16:49,6
03-16-01:17:09,6
03-16-01:17:29,6
03-16-01:17:49,6
03-16-01:18:09,6
03-16-01:18:29,6
03-16-01:18:49,6
03-16-01:19:09,6
03-16-01:19:29,6
03-16-01:19:49,6
03-16-01:20:09,6
03-16-01:20:29,6
03-16-01:20:49,6
03-16-01:21:09,6
03-16-01:21:29,6
03-16-01:21:49,6
03-16-01:22:09,6
03-16-01:22:30,6
03-16-01:22:49,6
03-16-01:23:09,6
03-16-01:23:29,6
03-16-01:23:49,6
03-16-01:24:10,6
03-16-01:24:30,6
03-16-01:24:49,6
03-16-01:25:09,6
03-16-01:25:30,6
03-16-01:25:50,6
03-16-01:26:09,6
03-16-01:26:30,6
03-16-01:26:49,6
03-16-01:27:09,6
03-16-01:27:29,6
03-16-01:27:50,6
03-16-01:28:10,6
03-16-01:28:29,6
03-16-01:28:50,6
03-16-01:29:10,6
03-16-01:29:29,6
03-16-01:29:50,6
03-16-01:30:10,6
03-16-01:30:30,6
03-16-01:30:50,6
03-16-01:31:10,6
03-16-01:31:30,6
03-16-01:31:50,6
03-16-01:32:10,6
03-16-01:32:30,6
03-16-01:32:50,6
03-16-01:33:10,6
03-16-01:33:30,6
03-16-01:33:50,6
03-16-01:34:10,6
03-16-01:34:30,6
03-16-01:34:50,6
03-16-01:35:10,6
03-16-01:35:30,6
03-16-01:35:50,6
03-16-01:36:10,6
03-16-01:36:30,6
03-16-01:36:50,6
03-16-01:37:10,6
03-16-01:37:30,6
03-16-01:37:50,6
03-16-01:38:10,6
03-16-01:38:30,6
03-16-01:38:50,6
03-16-01:39:10,6
03-16-01:39:30,6
03-16-01:39:50,6
03-16-01:40:10,6
03-16-01:40:30,6
03-16-01:40:50,6
03-16-01:41:11,6
03-16-01:41:30,6
03-16-01:41:50,6
03-16-01:42:10,6
03-16-01:42:31,6
03-16-01:42:50,6
03-16-01:43:10,6
03-16-01:43:30,6
03-16-01:43:50,6
03-16-01:44:10,6
03-16-01:44:30,6
03-16-01:44:51,6
