Time,Power
03-15-23:54:44,94.5
03-15-23:55:04,94.5
03-15-23:55:24,94.25
03-15-23:55:44,94.25
03-15-23:56:04,94.5
03-15-23:56:24,94
03-15-23:56:45,94.5
03-15-23:57:04,95
03-15-23:57:25,96.5
03-15-23:57:46,95.75
03-15-23:58:05,95
03-15-23:58:24,95.5
03-15-23:58:45,95.75
03-15-23:59:05,95
03-15-23:59:25,95.25
03-15-23:59:45,95.25
03-16-00:00:05,95
03-16-00:00:26,95.25
03-16-00:00:45,95
03-16-00:01:06,95.25
03-16-00:01:25,95.5
03-16-00:01:46,95.25
03-16-00:02:05,95.25
03-16-00:02:26,94.75
03-16-00:02:45,94.25
03-16-00:03:05,94.25
03-16-00:03:25,94.5
03-16-00:03:45,94.25
03-16-00:04:05,94.25
03-16-00:04:25,94.5
03-16-00:04:45,94
03-16-00:05:05,94.25
03-16-00:05:25,94.25
03-16-00:05:45,95
03-16-00:06:05,95
03-16-00:06:25,96
03-16-00:06:45,95.75
03-16-00:07:05,95
03-16-00:07:25,95.25
03-16-00:07:45,95
03-16-00:08:05,95
03-16-00:08:25,95.5
03-16-00:08:45,95
03-16-00:09:05,95.5
03-16-00:09:25,95.25
03-16-00:09:45,94.75
03-16-00:10:05,95
03-16-00:10:25,96.25
03-16-00:10:45,96.5
03-16-00:11:05,95.75
03-16-00:11:25,95.25
03-16-00:11:45,95
03-16-00:12:05,95.25
03-16-00:12:25,95
03-16-00:12:45,95
03-16-00:13:05,95.25
03-16-00:13:25,95
03-16-00:13:46,95
03-16-00:14:06,95
03-16-00:14:25,95.75
03-16-00:14:45,95.5
03-16-00:15:06,95.25
03-16-00:15:26,95
03-16-00:15:45,95
03-16-00:16:06,95.5
03-16-00:16:26,95.25
03-16-00:16:46,95.25
03-16-00:17:06,95.25
03-16-00:17:26,95
03-16-00:17:46,95.25
03-16-00:18:06,95.25
03-16-00:18:26,95.25
03-16-00:18:49,95.5
03-16-00:19:06,95.25
03-16-00:19:29,94.75
03-16-00:19:49,94
03-16-00:20:06,94.25
03-16-00:20:26,94.25
03-16-00:20:46,94.75
03-16-00:21:06,94.25
03-16-00:21:26,95
03-16-00:21:46,95
03-16-00:22:06,95
03-16-00:22:30,94.75
03-16-00:22:46,94.25
03-16-00:23:06,94.25
03-16-00:23:26,94.25
03-16-00:23:46,94.25
03-16-00:24:09,94.25
03-16-00:24:26,94.5
03-16-00:24:47,94.25
03-16-00:25:06,94.25
03-16-00:25:26,94.25
03-16-00:25:46,94.25
03-16-00:26:06,94.25
03-16-00:26:26,94
03-16-00:26:46,94
03-16-00:27:06,94.25
03-16-00:27:26,94.25
03-16-00:27:46,94.25
03-16-00:28:06,94.25
03-16-00:28:26,94.5
03-16-00:28:46,94
03-16-00:29:06,94.25
03-16-00:29:26,94.25
03-16-00:29:46,94.5
03-16-00:30:06,94.25
03-16-00:30:26,94
03-16-00:30:46,94.25
03-16-00:31:06,94.5
03-16-00:31:26,94.75
03-16-00:31:46,94.25
03-16-00:32:06,94.25
03-16-00:32:26,94.25
03-16-00:32:46,94.5
03-16-00:33:06,94.25
03-16-00:33:27,94.5
03-16-00:33:47,94.25
03-16-00:34:06,94.5
03-16-00:34:26,94.25
03-16-00:34:46,94.25
03-16-00:35:06,94.5
03-16-00:35:27,94.25
03-16-00:35:47,94.25
03-16-00:36:06,94.25
03-16-00:36:27,94.5
03-16-00:36:47,94.25
03-16-00:37:06,94.25
03-16-00:37:27,94.5
03-16-00:37:47,94.25
03-16-00:38:07,94.5
03-16-00:38:27,94.25
03-16-00:38:47,94.25
03-16-00:39:07,94.25
03-16-00:39:27,94.5
03-16-00:39:47,94.5
03-16-00:40:07,94.25
03-16-00:40:27,94.25
03-16-00:40:47,94.25
03-16-00:41:07,94.5
